Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         7  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter.rb
         7  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validation_context.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/printer.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/enum.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_deprecation_reason.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/literal_validator.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_names_are_unique.rb
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/find_inherited_value.rb
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/scalar.rb
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/operation_names_are_valid.rb
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validator.rb

allocated objects by location
-----------------------------------
     12970  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:405
     12970  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:510
      3441  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:100
      2983  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:52
      2983  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:76
      2981  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb:38
      2981  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:276
      2981  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:41
      2980  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:413
      2980  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:718
      1952  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/argument.rb:295
      1952  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:174
      1803  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:65
      1767  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:333
      1299  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:768
      1286  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:177
      1203  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb:930
      1148  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments.rb:43
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments_cache.rb:79
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:452
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb:837
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:181
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:198
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:199
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:202
       864  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:102
       864  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:759
       619  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:124
       454  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb:76
       389  (eval):3
       228  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:41
       167  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/lexer.rb:1414
       130  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:42
       107  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/type_type.rb:60
       107  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/type_type.rb:92
       107  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:22
       107  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:23
       107  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:170
       107  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:194
        86  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:334
        81  parser.y:549
        80  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/lexer.rb:1413
        80  <internal:pack>:145
        78  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb:125
        60  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb:7
        60  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:343
        60  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:344
        60  parser.y:109
        56  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:337

allocated objects by class
-----------------------------------
     32566  Hash
     27735  Array
      2983  <<Unknown>>
      2981  GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash
      2981  GraphQL::Execution::Interpreter::Runtime::GraphQLSelectionSet
      2024  Proc
      1261  String
       976  GraphQL::Execution::Interpreter::ArgumentValue
       976  GraphQL::Execution::Interpreter::Arguments
       864  GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray
       646  Enumerator
       167  GraphQL::Language::Token
        60  GraphQL::Language::Nodes::Field
        60  GraphQL::StaticValidation::FieldsWillMerge::Field
        12  GraphQL::StaticValidation::DefinitionDependencies::NodeWithPath
         8  GraphQL::Language::Nodes::FragmentSpread
         8  GraphQL::StaticValidation::FieldsWillMerge::FragmentSpread
         8  GraphQL::StaticValidation::FragmentSpreadsArePossible::FragmentSpread
         8  Range
         7  GraphQL::Query::InputValidationResult
         7  JSON::Ext::Generator::State
         7  Set
         5  GraphQL::Language::Nodes::Argument
         4  Method
         3  GraphQL::Filter
         3  GraphQL::Language::Nodes::FragmentDefinition
         3  GraphQL::Language::Nodes::TypeName
         3  GraphQL::Language::Printer
         1  GraphQL::Dataloader::NullDataloader
         1  GraphQL::Execution::Interpreter
         1  GraphQL::Execution::Interpreter::ArgumentsCache
         1  GraphQL::Execution::Interpreter::Runtime
         1  GraphQL::Execution::Multiplex
         1  GraphQL::Filter::MergedOnly
         1  GraphQL::Language::Nodes::Document
         1  GraphQL::Language::Nodes::OperationDefinition
         1  GraphQL::Language::Parser
         1  GraphQL::Query
         1  GraphQL::Query::Context
         1  GraphQL::Query::Result
         1  GraphQL::Query::ValidationPipeline
         1  GraphQL::Query::Variables
         1  GraphQL::Schema::Warden
         1  GraphQL::StaticValidation::DefinitionDependencies::DependencyMap
         1  GraphQL::StaticValidation::InterpreterVisitor
         1  GraphQL::StaticValidation::LiteralValidator
         1  GraphQL::StaticValidation::ValidationContext
         1  GraphQL::StaticValidation::Validator
         1  Racc::CparseParams

retained memory by gem
-----------------------------------
NO DATA

retained memory by file
-----------------------------------
NO DATA

retained memory by location
-----------------------------------
NO DATA

retained memory by class
-----------------------------------
NO DATA

retained objects by gem
-----------------------------------
NO DATA

retained objects by file
-----------------------------------
NO DATA

retained objects by location
-----------------------------------
NO DATA

retained objects by class
-----------------------------------
NO DATA


Allocated String Report
-----------------------------------
       500  "arg"
       500  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

       100  "field0"
       100  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

       100  "field1"
       100  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

       100  "field2"
       100  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

       100  "field3"
       100  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

       100  "field4"
       100  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

        21  "name"
        16  <internal:pack>:145
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

        11  "description"
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         5  <internal:pack>:145

        10  "includeDeprecated"
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         5  <internal:pack>:145

        10  "kind"
         9  <internal:pack>:145
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         8  "ofType"
         7  <internal:pack>:145
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         6  "__Type"
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/printer.rb:121
         2  <internal:pack>:145

         6  "deprecationReason"
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         3  <internal:pack>:145

         6  "isDeprecated"
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         3  <internal:pack>:145

         5  "TypeRef"
         5  <internal:pack>:145

         5  "false"
         5  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/gems/3.1.0/gems/json-2.6.3/lib/json/common.rb:312

         4  "... TypeRef"
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb:143

         4  "InputValue"
         4  <internal:pack>:145

         4  "args"
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         2  <internal:pack>:145

         4  "type"
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         2  <internal:pack>:145

         3  "... InputValue"
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb:143

         3  "__InputValue"
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/printer.rb:121
         1  <internal:pack>:145

         2  "\n"
         1  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/gems/3.1.0/gems/json-2.6.3/lib/json/common.rb:95
         1  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/gems/3.1.0/gems/json-2.6.3/lib/json/common.rb:96

         2  "FullType"
         2  <internal:pack>:145

         2  "defaultValue"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "directives"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "enumValues"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "fields"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "if"
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         2  "inputFields"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "interfaces"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "locations"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "mutationType"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "possibleTypes"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "queryType"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "subscriptionType"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         2  "types"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
         1  <internal:pack>:145

         1  "rootfield31"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield33"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield34"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield35"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield36"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield37"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield38"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield39"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield4"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield40"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield41"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield42"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

         1  "rootfield43"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13

